Trade: E48A8 Size: 11242 Price: 12416476907797552665
Trade: 2DE51 Size: 55396 Price: 14525796349420212416
Trade: 433E2 Size: 41755 Price: 9223658555571637927
Trade: 842DC Size: 1083 Price: 5998942379744431263
Trade: B17E8 Size: 50794 Price: 3934160970887393029
Trade: 723AB Size: 2517 Price: 4409439475074177090
Trade: D35C8 Size: 4541 Price: 7925379115239136024
Trade: 53D00 Size: 32415 Price: 5019155602599853236
Trade: B2A03 Size: 36499 Price: 4237952150077816862
Trade: 7272D Size: 16464 Price: 15867038196085593914
Trade: 32036 Size: 9552 Price: 3565190031472444012
Trade: 96AE2 Size: 52950 Price: 16633375772060823815
Trade: 706D6 Size: 28530 Price: 16139035430107315956
Trade: 49029 Size: 50387 Price: 3154937891994519510
Trade: 8E833 Size: 42237 Price: 5112534916203335206
Trade: 2A359 Size: 39018 Price: 15250948928033382625
Trade: 67277 Size: 60988 Price: 15910586784814535516
Trade: D130A Size: 32405 Price: 5652054616350885482
Trade: 419E2 Size: 63340 Price: 3734642141233696577
Trade: A4DDB Size: 11383 Price: 4659928669887555348
Trade: 43AE1 Size: 30667 Price: 15803236904882600473
Trade: 89875 Size: 27588 Price: 1606490848782689697
Trade: 944C2 Size: 36714 Price: 14206441960134646729
Trade: 2D266 Size: 10132 Price: 6162701252975087179
Trade: 770D8 Size: 23642 Price: 11628657050866737646
Trade: 0A122 Size: 18140 Price: 8550255888684787961
Trade: 000B7 Size: 64386 Price: 12515417529647236691
Trade: B00AA Size: 61063 Price: 6248557842469284704
Trade: 462DD Size: 19982 Price: 18208449076090732143
Trade: BD6C0 Size: 26692 Price: 3691978928353362421
Trade: B147B Size: 47247 Price: 7817195200156125000
Trade: 0A43A Size: 18602 Price: 9941235167253935733
Trade: C5853 Size: 3111 Price: 1339829146115755907
Trade: 877E6 Size: 53273 Price: 4965067760510038873
Trade: 3A3E5 Size: 1625 Price: 1933757577973341143
Trade: A3E88 Size: 44283 Price: 251719985883104496
Trade: 5B0E0 Size: 36667 Price: 2600633294427065246
Trade: B3A74 Size: 19976 Price: 6166971557499642264
Trade: CA680 Size: 47906 Price: 14981597428088442985
Trade: C0684 Size: 8427 Price: 210827126933622772
Trade: 4DA6D Size: 3630 Price: 6516358815911089444
Trade: 2A964 Size: 9678 Price: 2541744917079413106
Trade: E0D8B Size: 2023 Price: 14162609770264294101
